Time (s)	Position (m)	Velocity (ms^-1)	kinetic_energy (J)
9.290	-5.219E-3	3.284E-2	0.425	2.705E-2
9.300	4.425E-4	3.379E-2	0.519	3.757E-2
9.310	5.161E-3	3.473E-2	0.519	3.757E-2
9.320	1.082E-2	3.567E-2	0.802	8.806E-2
9.330	2.120E-2	3.662E-2	0.944	0.121
9.340	2.970E-2	3.662E-2	0.708	6.882E-2
9.350	3.536E-2	3.850E-2	0.661	6.011E-2
9.360	4.291E-2	3.850E-2	0.661	6.161E-2
9.370	4.857E-2	4.133E-2	0.472	3.486E-2
9.380	5.234E-2	4.228E-2	0.472	3.276E-2
9.390	5.801E-2	4.417E-2	0.613	5.560E-2
9.400	6.461E-2	4.605E-2	0.566	4.448E-2
9.410	6.933E-2	4.605E-2	0.613	5.109E-2
9.420	7.688E-2	4.700E-2	0.425	2.555E-2
9.430	7.782E-2	4.794E-2	0.472	3.035E-2
9.440	8.631E-2	4.794E-2	0.613	5.109E-2
9.450	9.009E-2	4.888E-2	0.236	8.716E-3
9.460	9.103E-2	4.983E-2	9.437E-2	1.503E-3
9.470	9.198E-2	4.983E-2	0.189	6.011E-3
9.480	9.481E-2	5.171E-2	0.330	1.593E-2
9.490	9.858E-2	5.171E-2	0.236	7.513E-3
9.500	9.953E-2	5.171E-2	0.142	2.705E-3
9.510	0.101	5.171E-2	9.437E-2	1.202E-3
9.520	0.101	5.171E-2	0.000	0.000
9.530	0.101	5.171E-2	0.000	0.000
9.540	0.101	5.171E-2	0.000	0.000
9.550	0.101	5.171E-2	-0.142	2.705E-3
9.560	9.858E-2	5.171E-2	-0.236	7.513E-3
9.570	9.669E-2	5.171E-2	-0.283	1.082E-2
9.580	9.292E-2	5.171E-2	-0.236	7.513E-3
9.590	9.198E-2	5.171E-2	-0.283	1.202E-2
9.600	8.726E-2	5.360E-2	-0.472	3.276E-2
9.610	8.254E-2	5.455E-2	-0.519	3.757E-2
9.620	7.688E-2	5.549E-2	-0.425	2.464E-2
9.630	7.405E-2	5.549E-2	-0.283	1.082E-2
9.640	7.122E-2	5.549E-2	-0.283	1.082E-2
9.650	6.839E-2	5.549E-2	-0.566	4.448E-2
9.660	5.989E-2	5.360E-2	-0.802	8.806E-2
9.670	5.234E-2	5.360E-2	-0.566	4.358E-2
9.680	4.857E-2	5.266E-2	-0.472	3.035E-2
9.690	4.291E-2	5.266E-2	-0.519	3.636E-2
9.700	3.819E-2	5.266E-2	-0.425	2.434E-2
9.710	3.441E-2	5.266E-2	-0.283	1.082E-2
9.720	3.253E-2	5.266E-2	-0.991	0.137
9.730	1.460E-2	4.888E-2	-1.180	0.195
9.740	8.935E-3	4.794E-2	-0.566	4.358E-2
9.750	3.273E-3	4.794E-2	-0.472	3.005E-2
9.760	-5.011E-4	4.794E-2	-0.377	2.044E-2
9.770	-4.276E-3	4.605E-2	-0.472	3.276E-2
9.780	-9.938E-3	4.511E-2	-0.519	3.667E-2
9.790	-1.466E-2	4.511E-2	-0.708	7.033E-2
9.800	-2.409E-2	4.228E-2	-0.519	3.907E-2
9.810	-2.504E-2	4.228E-2	-0.189	4.809E-3
9.820	-2.787E-2	4.228E-2	-0.189	4.809E-3
9.830	-2.881E-2	4.228E-2	-0.189	7.513E-3
9.840	-3.164E-2	3.945E-2	-0.189	9.617E-3
9.850	-3.259E-2	3.850E-2	-0.142	3.907E-3
9.860	-3.447E-2	3.756E-2	-0.189	6.011E-3
9.870	-3.636E-2	3.662E-2	-0.142	5.410E-3
9.880	-3.730E-2	3.473E-2	-4.718E-2	1.503E-3
9.890	-3.730E-2	3.473E-2	0.000	0.000
9.900	-3.730E-2	3.473E-2	0.000	0.000
9.910	-3.730E-2	3.473E-2	0.236	1.232E-2
9.920	-3.259E-2	3.095E-2	0.425	3.516E-2
9.930	-2.881E-2	2.907E-2	0.472	3.126E-2
9.940	-2.315E-2	2.907E-2	0.566	4.328E-2
9.950	-1.749E-2	2.907E-2	0.472	3.005E-2
9.960	-1.371E-2	2.907E-2	0.330	1.473E-2
9.970	-1.088E-2	2.907E-2	0.236	7.513E-3
9.980	-8.994E-3	2.907E-2	0.330	1.593E-2
9.990	-4.276E-3	2.718E-2	0.613	5.199E-2
10.000	3.273E-3	2.718E-2	0.613	5.079E-2
10.010	7.992E-3	2.718E-2	0.425	2.434E-2
10.020	1.177E-2	2.718E-2	0.613	5.079E-2
10.030	2.026E-2	2.718E-2	0.661	5.891E-2
10.040	2.498E-2	2.718E-2	0.566	4.328E-2
10.050	3.158E-2	2.718E-2	0.661	6.011E-2
10.060	3.819E-2	2.907E-2	0.661	6.161E-2
10.070	4.479E-2	3.001E-2	0.708	6.792E-2
10.080	5.234E-2	3.001E-2	0.613	5.079E-2
10.090	5.706E-2	3.001E-2	0.708	6.762E-2
10.100	6.650E-2	3.001E-2	0.613	5.079E-2
10.110	6.933E-2	3.001E-2	0.472	3.126E-2
10.120	7.593E-2	3.190E-2	0.425	2.555E-2
10.130	7.782E-2	3.190E-2	0.519	3.667E-2
10.140	8.631E-2	3.284E-2	0.519	3.667E-2
10.150	8.820E-2	3.284E-2	0.896	0.110
10.160	0.104	3.473E-2		

