Time (s)	Position (m)	Velocity (ms^-1)	kinetic_energy (J)
2.150	-3.531E-2	4.195E-2	0.577	4.525E-2
2.160	-3.050E-2	4.291E-2	0.529	4.057E-2
2.170	-2.473E-2	4.483E-2	0.529	3.901E-2
2.180	-1.992E-2	4.483E-2	0.481	3.402E-2
2.190	-1.511E-2	4.772E-2	0.577	4.775E-2
2.200	-8.383E-3	4.772E-2	0.769	8.021E-2
2.210	2.718E-4	4.868E-2	0.817	9.519E-2
2.220	7.965E-3	5.156E-2	0.625	5.774E-2
2.230	1.277E-2	5.252E-2	0.673	6.117E-2
2.240	2.143E-2	5.156E-2	0.721	7.053E-2
2.250	2.720E-2	5.156E-2	0.577	4.494E-2
2.260	3.297E-2	5.156E-2	0.625	5.274E-2
2.270	3.970E-2	5.156E-2	0.673	6.148E-2
2.280	4.643E-2	5.252E-2	0.769	8.021E-2
2.290	5.508E-2	5.252E-2	0.673	6.117E-2
2.300	5.989E-2	5.252E-2	0.529	3.776E-2
2.310	6.566E-2	5.252E-2	0.577	4.494E-2
2.320	7.143E-2	5.252E-2	0.529	3.808E-2
2.330	7.624E-2	5.349E-2	0.481	3.152E-2
2.340	8.105E-2	5.349E-2	0.385	1.997E-2
2.350	8.393E-2	5.349E-2	0.481	3.121E-2
2.360	9.066E-2	5.349E-2	0.433	2.559E-2
2.370	9.259E-2	5.252E-2	9.616E-2	4.057E-3
2.380	9.259E-2	5.060E-2	0.000	1.248E-3
2.390	9.259E-2	5.060E-2	0.000	0.000
2.400	9.259E-2	5.060E-2	0.000	0.000
2.410	9.259E-2	5.060E-2	0.000	2.809E-3
2.420	9.259E-2	4.772E-2	0.000	2.809E-3
2.430	9.259E-2	4.772E-2	-0.144	3.121E-3
2.440	8.970E-2	4.675E-2	-0.240	8.114E-3
2.450	8.778E-2	4.675E-2	-0.240	7.802E-3
2.460	8.489E-2	4.675E-2	-0.288	1.155E-2
2.470	8.201E-2	4.579E-2	-0.337	1.810E-2
2.480	7.816E-2	4.387E-2	-0.433	3.027E-2
2.490	7.336E-2	4.195E-2	-0.337	1.654E-2
2.500	7.143E-2	4.195E-2	-0.288	1.124E-2
2.510	6.759E-2	4.195E-2	-0.385	2.029E-2
2.520	6.374E-2	4.098E-2	-0.481	3.402E-2
2.530	5.797E-2	3.906E-2	-0.481	3.246E-2
2.540	5.412E-2	3.906E-2	-0.577	4.619E-2
2.550	4.643E-2	3.714E-2	-0.625	5.399E-2
2.560	4.162E-2	3.714E-2	-0.481	3.152E-2
2.570	3.681E-2	3.618E-2	-0.481	3.402E-2
2.580	3.201E-2	3.425E-2	-0.577	4.619E-2
2.590	2.527E-2	3.425E-2	-0.817	9.519E-2
2.600	1.566E-2	3.041E-2	-0.817	0.107
2.610	8.935E-3	2.718E-2	-0.619	5.528E-2
2.620	3.273E-3	2.718E-2	-0.613	5.079E-2
2.630	-3.332E-3	2.718E-2	-0.661	5.891E-2
2.640	-9.938E-3	2.718E-2	-0.566	4.448E-2
2.650	-1.466E-2	2.529E-2	-0.519	4.117E-2
2.660	-2.032E-2	2.341E-2	-0.519	3.757E-2
2.670	-2.504E-2	2.341E-2	-0.425	2.555E-2
2.680	-2.881E-2	2.152E-2	-0.472	3.126E-2
2.690	-3.447E-2	2.152E-2	-0.566	4.328E-2
2.700	-4.013E-2	2.152E-2	-0.519	3.636E-2
2.710	-4.485E-2	2.152E-2	-0.472	3.005E-2
2.720	-4.957E-2	2.152E-2	-0.330	1.503E-2
2.730	-5.146E-2	2.057E-2	-0.283	1.202E-2
2.740	-5.523E-2	1.963E-2	-0.330	1.593E-2
2.750	-5.806E-2	1.869E-2	-0.189	5.109E-3
2.760	-5.901E-2	1.869E-2	-4.718E-2	3.005E-4
2.770	-5.901E-2	1.869E-2	0.000	0.000
2.780	-5.901E-2	1.869E-2	0.000	0.000
2.790	-5.901E-2	1.869E-2	0.142	3.005E-3
2.800	-5.618E-2	1.774E-2	0.377	1.953E-2
2.810	-5.146E-2	1.774E-2	0.236	7.513E-3
2.820	-5.146E-2	1.774E-2	0.189	4.809E-3
2.830	-4.768E-2	1.774E-2	0.330	1.473E-2
2.840	-4.485E-2	1.774E-2	0.377	1.953E-2
2.850	-4.013E-2	1.869E-2	0.330	1.743E-2
2.860	-3.825E-2	2.057E-2	0.236	7.814E-3
2.870	-3.542E-2	1.963E-2	0.472	3.035E-2
2.880	-2.881E-2	2.152E-2	0.566	4.448E-2
2.890	-2.409E-2	2.152E-2	0.519	3.667E-2
2.900	-1.843E-2	2.246E-2	0.519	3.757E-2
2.910	-1.371E-2	2.341E-2	0.613	5.350E-2
2.920	-6.163E-3	2.529E-2	0.708	7.033E-2
2.930	4.425E-4	2.624E-2	0.472	3.126E-2
