#initial-angle1(-30.7)	initial-angle2(0)
#t	x1	y1	x2	y2	vx1	vy1	vx2	vy2
7.7	4.40E-02	0.133	1.67E-01	-1.34E-01	-1.54E-01	-2.01E-02	-0.238	-2.56E-02
7.8	2.76E-02	0.133	1.40E-01	-1.39E-01	-1.74E-01	-1.10E-02	-0.277	-5.30E-02
7.9	9.15E-03	0.131	1.12E-01	-1.45E-01	-1.48E-01	-5.48E-03	-0.304	-7.27E-02
8	-1.99E-03	0.132	7.96E-02	-1.53E-01	-1.09E-01	2.32E-03	-2.47E-01	-6.48E-02
8.1	-1.26E-02	0.132	6.23E-02	-1.58E-01	-8.57E-02	2.54E-03	-0.281	-7.33E-02
8.2	-1.91E-02	0.132	2.35E-02	-1.68E-01	-7.48E-02	5.12E-03	-0.388	-8.17E-02
8.3	-2.75E-02	0.133	-1.53E-02	-1.74E-01	-7.42E-02	1.07E-02	-4.00E-01	-4.28E-02
8.4	-3.40E-02	1.34E-01	-5.65E-02	-1.77E-01	-4.46E-02	8.97E-03	-4.06E-01	1.59E-02
8.5	-3.64E-02	1.34E-01	-9.65E-02	-1.71E-01	-2.07E-02	2.07E-03	-3.89E-01	9.87E-02
8.6	-3.81E-02	0.135	-1.34E-01	-1.57E-01	-1.10E-02	6.90E-04	-3.37E-01	1.56E-01
8.7	-3.87E-02	0.135	-1.64E-01	-1.40E-01	-2.76E-03	0.00E+00	-2.53E-01	0.169
8.8	-3.87E-02	0.135	-1.85E-01	-1.23E-01	-2.76E-03	6.90E-04	-0.196	1.59E-01
8.9	-3.92E-02	1.35E-01	-2.03E-01	-1.08E-01	-6.90E-03	6.90E-04	-1.44E-01	1.33E-01
9	-4.00E-02	1.35E-01	-2.14E-01	-9.65E-02	-9.66E-03	1.38E-03	-1.06E-01	1.06E-01
9.1	-4.11E-02	0.135	-2.24E-01	-8.68E-02	-1.38E-02	2.07E-03	-8.28E-02	6.63E-02
9.2	-4.28E-02	1.35E-01	-2.30E-01	-8.32E-02	-1.59E-02	2.76E-03	-3.31E-02	4.14E-03
9.3	-4.43E-02	1.36E-01	-2.31E-01	-8.60E-02	-1.66E-02	2.07E-03	1.17E-02	-4.83E-02
9.4	-4.61E-02	1.36E-01	-2.28E-01	-9.29E-02	-1.45E-02	0.00E+00	5.94E-02	-9.94E-02
9.5	-4.72E-02	1.36E-01	-2.19E-01	-1.06E-01	-1.31E-02	2.76E-03	1.10E-01	-1.41E-01
9.6	-4.87E-02	0.136	-2.06E-01	-1.21E-01	-1.24E-02	2.76E-03	1.55E-01	-1.64E-01
9.7	-4.97E-02	1.36E-01	-1.88E-01	-1.39E-01	-8.28E-03	6.90E-04	2.08E-01	-1.62E-01
9.8	-5.04E-02	1.36E-01	-1.64E-01	-1.53E-01	-5.52E-03	1.38E-03	2.85E-01	-1.40E-01
9.9	-5.08E-02	1.36E-01	-1.31E-01	-1.67E-01	-2.07E-03	6.90E-04	3.34E-01	-1.05E-01
10	-5.08E-02	1.36E-01	-9.75E-02	-1.74E-01	4.14E-03	0.00E+00	0.358	-4.69E-02
10.1	-5.00E-02	0.136	-5.94E-02	-1.76E-01	2.49E-02	0.00E+00	0.376	-5.52E-03
10.2	-4.58E-02	1.36E-01	-2.22E-02	-1.76E-01	4.97E-02	-2.76E-03	0.365	2.55E-02
10.3	-4.00E-02	1.36E-01	1.37E-02	-1.71E-01	8.83E-02	-1.59E-02	0.357	5.18E-02
10.4	-2.82E-02	1.33E-01	4.91E-02	-1.65E-01	1.15E-01	-1.66E-02	0.337	4.97E-02
10.5	-1.71E-02	1.33E-01	8.10E-02	-1.61E-01	1.28E-01	-1.04E-02	3.05E-01	4.42E-02
10.6	-2.62E-03	1.31E-01	1.10E-01	-1.56E-01	1.41E-01	-7.59E-03	2.72E-01	3.24E-02
10.7	1.10E-02	0.131	1.35E-01	-1.55E-01	1.65E-01	7.59E-03	2.33E-01	1.79E-02
10.8	3.04E-02	0.133	1.57E-01	-1.53E-01	1.84E-01	1.79E-02	1.89E-01	1.66E-02
10.9	4.78E-02	0.135	1.73E-01	-1.51E-01	1.74E-01	2.55E-02	1.50E-01	2.09E-02
11	6.52E-02	1.38E-01	1.87E-01	-1.49E-01	1.59E-01	3.24E-02	1.08E-01	2.49E-02
11.1	7.95E-02	0.141	1.95E-01	-1.46E-01	1.48E-01	4.49E-02	5.75E-02	1.63E-02
11.2	9.48E-02	0.147	1.98E-01	-1.45E-01	1.28E-01	4.90E-02	1.96E-02	2.14E-02
11.3	1.05E-01	0.151	1.99E-01	-1.42E-01	9.04E-02	3.04E-02	-2.07E-03	2.28E-02
11.4	1.13E-01	0.153	1.98E-01	-1.41E-01	6.07E-02	2.55E-02	-1.93E-02	2.07E-03
11.5	1.17E-01	0.156	1.95E-01	-1.42E-01	2.14E-02	1.59E-02	-3.93E-02	-2.28E-02
11.6	1.17E-01	1.56E-01	1.90E-01	-1.45E-01	-2.21E-02	-1.24E-02	-6.21E-02	-4.00E-02
11.7	1.13E-01	1.53E-01	1.82E-01	-1.50E-01	-5.80E-02	-2.69E-02	-7.73E-02	-4.90E-02
11.8	1.06E-01	0.151	1.74E-01	-1.55E-01	-8.83E-02	-3.73E-02	-0.107	-5.59E-02
11.9	9.51E-02	0.146	1.61E-01	-1.61E-01	-1.14E-01	-4.28E-02	-0.151	-5.52E-02
12	8.28E-02	0.142	1.44E-01	-1.66E-01	-1.41E-01	-4.00E-02	-0.183	-4.90E-02
12.1	6.70E-02	0.138	1.25E-01	-1.71E-01	-1.77E-01	-3.80E-02	-0.211	-3.59E-02
12.2	4.75E-02	0.134	1.02E-01	-1.73E-01	-1.85E-01	-2.90E-02	-0.243	-1.59E-02
12.3	3.00E-02	1.32E-01	7.59E-02	-1.74E-01	-1.90E-01	-2.28E-02	-0.269	-8.97E-03
12.4	9.39E-03	1.30E-01	4.80E-02	-1.75E-01	-1.89E-01	-5.52E-03	-0.297	-1.04E-02
12.5	-7.87E-03	0.131	1.64E-02	-1.76E-01	-1.63E-01	1.24E-02	-0.32	-4.14E-03
12.6	-2.32E-02	0.132	-1.59E-02	-1.76E-01	-1.41E-01	1.59E-02	-0.322	6.90E-03
12.7	-3.60E-02	1.34E-01	-4.79E-02	-1.74E-01	-1.30E-01	2.42E-02	-3.21E-01	1.66E-02
